City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
Ystad,0,SE,1512346800,93,55.43,13.82,35.6,9.17
Sao Caetano de Odivelas,0,BR,1512347804,95,-0.75,-48.02,82.21,17.47
Joshimath,24,IN,1512347805,41,30.57,79.57,4.5,1.03
Kruisfontein,0,ZA,1512347805,92,-34.0,24.73,58.5,6.17
Banjarmasin,40,ID,1512343800,94,-3.32,114.59,80.6,4.7
Pervomaysk,68,UA,1512347807,100,48.04,30.85,37.39,9.98
Skelleftea,75,SE,1512346800,92,64.75,20.95,23.0,5.82
Bud,75,US,1512346500,61,39.45,-86.18,48.2,8.05
Kouqian,56,CN,1512347809,64,43.64,126.46,-0.19,2.59
Palmer,90,US,1512345360,86,42.16,-72.33,39.2,0.36
Durusu,0,TR,1512345000,72,41.31,28.68,62.6,4.7
Half Moon Bay,1,US,1512345360,62,37.46,-122.43,59.0,10.29
Yermakovskoye,8,RU,1512347812,85,53.28,92.4,21.46,9.64
Cabo San Lucas,20,MX,1512344940,69,22.89,-109.91,77.0,11.41
Vao,80,NC,1512347815,100,-22.67,167.48,73.84,13.78
Manta,75,EC,1512345600,78,-0.95,-80.73,77.0,9.17
Torez,56,UA,1512347816,93,48.04,38.6,37.53,9.86
Carlyle,75,US,1512346500,58,38.61,-89.37,59.0,8.05
Bathsheba,75,BB,1512345600,78,13.22,-59.52,80.6,23.04
Marinette,40,US,1512345360,75,45.1,-87.63,41.0,6.93
